iter	Passed	Remaining
0	56	56549
1	56	28382
2	57	19036
3	57	14344
4	57	11538
5	58	9645
6	58	8304
7	58	7302
8	59	6522
9	59	5887
10	59	5371
11	60	4943
12	60	4577
13	60	4264
14	60	3997
15	61	3763
16	61	3555
17	61	3372
18	62	3211
19	62	3061
20	62	2925
21	62	2800
22	63	2689
23	63	2589
24	63	2494
25	64	2406
26	64	2326
27	64	2249
28	65	2178
29	65	2111
30	65	2049
31	65	1990
32	66	1934
33	66	1887
34	66	1840
35	67	1796
36	67	1755
37	67	1714
38	68	1676
39	68	1638
40	68	1603
41	68	1571
42	69	1540
43	69	1508
44	69	1479
45	69	1450
46	70	1423
47	70	1398
48	70	1373
49	71	1352
50	71	1330
51	71	1308
52	71	1285
53	72	1265
54	72	1246
55	72	1227
56	73	1209
57	73	1192
58	73	1176
59	74	1162
60	74	1145
61	74	1130
62	75	1115
63	75	1103
64	75	1089
65	76	1075
66	76	1061
67	76	1048
68	76	1036
69	77	1027
70	77	1015
71	77	1003
72	78	994
73	78	984
74	79	974
75	79	964
76	79	957
77	80	948
78	80	938
79	80	929
80	81	919
81	81	913
82	81	903
83	82	896
84	82	889
85	82	880
86	83	877
87	83	869
88	84	861
89	84	854
90	84	846
91	85	840
92	85	832
93	85	826
94	85	818
95	86	812
96	86	806
97	86	799
98	87	792
99	87	788
100	88	783
101	88	777
102	88	772
103	89	767
104	89	761
105	89	756
106	89	750
107	90	745
108	90	740
109	90	735
110	91	730
111	91	725
112	91	721
113	92	716
114	92	712
115	92	707
116	93	702
117	93	698
118	93	694
119	94	689
120	94	686
121	94	682
122	95	678
123	95	675
124	95	671
125	96	666
126	96	662
127	96	658
128	97	655
129	97	651
130	97	647
131	98	646
132	98	642
133	98	639
134	99	636
135	99	632
136	99	629
137	100	628
138	100	624
139	101	622
140	101	620
141	101	616
142	102	614
143	102	611
144	103	607
145	103	604
146	103	602
147	103	598
148	104	595
149	104	592
150	104	589
151	105	585
152	105	582
153	106	583
154	106	581
155	106	578
156	107	576
157	107	574
158	107	571
159	108	568
160	108	565
161	108	563
162	109	560
163	109	557
164	109	555
165	110	552
166	110	550
167	110	547
168	110	544
169	111	542
170	111	540
171	111	538
172	112	536
173	112	533
174	112	531
175	112	528
176	113	527
177	113	525
178	114	523
179	114	521
180	114	519
181	115	518
182	115	516
183	116	515
184	116	513
185	116	511
186	117	509
187	117	507
188	117	505
189	118	503
190	118	500
191	118	498
192	118	497
193	119	495
194	119	493
195	119	491
196	120	489
197	120	487
198	120	485
199	120	483
200	120	480
201	121	478
202	121	476
203	121	474
204	121	472
205	122	470
206	122	469
207	122	467
208	122	465
209	123	463
210	123	461
211	123	459
212	123	457
213	124	455
214	124	454
215	124	452
216	124	450
217	125	448
218	125	446
219	125	445
220	125	443
221	126	441
222	126	440
223	126	438
224	126	436
225	127	435
226	127	433
227	127	431
228	127	430
229	128	428
230	128	426
231	128	425
232	128	423
233	128	422
234	129	420
235	129	418
236	129	417
237	129	415
238	130	414
239	130	412
240	130	411
241	130	409
242	130	408
243	131	406
244	131	405
245	131	403
246	131	402
247	132	400
248	132	399
249	132	397
250	132	396
251	133	395
252	133	393
253	133	392
254	133	391
255	134	389
256	134	388
257	134	387
258	134	385
259	135	384
260	135	383
261	135	382
262	135	380
263	136	379
264	136	378
265	136	376
266	136	375
267	136	374
268	137	372
269	137	371
270	137	370
271	137	369
272	138	367
273	138	366
274	138	365
275	138	364
276	139	362
277	139	361
278	139	360
279	139	359
280	140	358
281	140	357
282	140	356
283	140	354
284	140	353
285	141	352
286	141	351
287	141	350
288	141	349
289	142	348
290	142	347
291	142	345
292	142	344
293	143	343
294	143	342
295	143	341
296	143	340
297	144	339
298	144	338
299	144	337
300	144	336
301	144	334
302	145	333
303	145	332
304	145	331
305	145	330
306	146	329
307	146	328
308	146	327
309	146	326
310	146	325
311	147	324
312	147	323
313	147	322
314	147	321
315	148	320
316	148	319
317	148	318
318	148	317
319	149	316
320	149	315
321	149	315
322	149	314
323	150	313
324	150	312
325	150	311
326	150	310
327	150	309
328	151	308
329	151	307
330	151	306
331	151	305
332	152	304
333	152	303
334	152	302
335	152	302
336	153	301
337	153	300
338	153	299
339	153	298
340	154	297
341	154	296
342	154	295
343	154	295
344	154	294
345	155	293
346	155	292
347	155	291
348	155	290
349	156	289
350	156	289
351	156	288
352	156	287
353	157	286
354	157	285
355	157	285
356	157	284
357	158	283
358	158	282
359	158	281
360	158	280
361	158	280
362	159	279
363	159	278
364	159	277
365	159	276
366	160	276
367	160	275
368	160	274
369	160	273
370	160	272
371	161	272
372	161	271
373	161	270
374	161	269
375	162	269
376	162	268
377	162	267
378	162	266
379	163	266
380	163	265
381	163	264
382	163	263
383	163	263
384	164	262
385	164	261
386	164	260
387	164	260
388	165	259
389	165	258
390	165	257
391	165	257
392	166	256
393	166	255
394	166	255
395	166	254
396	166	253
397	167	252
398	167	252
399	167	251
400	167	250
401	168	250
402	168	249
403	168	248
404	168	248
405	169	247
406	169	246
407	169	245
408	169	245
409	169	244
410	170	243
411	170	243
412	170	242
413	170	241
414	171	241
415	171	240
416	171	239
417	171	239
418	171	238
419	172	237
420	172	237
421	172	236
422	172	235
423	173	235
424	173	234
425	173	233
426	173	233
427	174	232
428	174	231
429	174	231
430	174	230
431	175	230
432	175	229
433	175	228
434	175	228
435	176	227
436	176	227
437	176	226
438	176	225
439	176	225
440	177	224
441	177	224
442	177	223
443	177	222
444	178	222
445	178	221
446	178	221
447	178	220
448	179	219
449	179	219
450	179	218
451	179	218
452	180	217
453	180	216
454	180	216
455	180	215
456	181	215
457	181	214
458	181	213
459	181	213
460	182	212
461	182	212
462	182	211
463	182	211
464	183	210
465	183	209
466	183	209
467	183	208
468	183	208
469	184	207
470	184	207
471	184	206
472	184	205
473	185	205
474	185	204
475	185	204
476	185	203
477	185	203
478	186	202
479	186	201
480	186	201
481	186	200
482	187	200
483	187	199
484	187	199
485	187	198
486	188	198
487	188	197
488	188	196
489	188	196
490	188	195
491	189	195
492	189	194
493	189	194
494	189	193
495	190	193
496	190	192
497	190	192
498	190	191
499	191	191
500	191	190
501	191	190
502	191	189
503	192	188
504	192	188
505	192	187
506	192	187
507	192	186
508	193	186
509	193	185
510	193	185
511	193	184
512	194	184
513	194	183
514	194	183
515	194	182
516	195	182
517	195	181
518	195	181
519	195	180
520	196	180
521	196	179
522	196	179
523	196	178
524	196	178
525	197	177
526	197	177
527	197	176
528	197	176
529	198	175
530	198	175
531	198	174
532	198	174
533	199	173
534	199	173
535	199	172
536	199	172
537	200	171
538	200	171
539	200	170
540	200	170
541	200	169
542	201	169
543	201	168
544	201	168
545	201	167
546	202	167
547	202	166
548	202	166
549	202	165
550	203	165
551	203	165
552	203	164
553	203	164
554	204	163
555	204	163
556	204	162
557	204	162
558	204	161
559	205	161
560	205	160
561	205	160
562	205	159
563	206	159
564	206	158
565	206	158
566	206	157
567	207	157
568	207	156
569	207	156
570	207	156
571	207	155
572	208	155
573	208	154
574	208	154
575	209	153
576	209	153
577	209	152
578	209	152
579	209	152
580	210	151
581	210	151
582	210	150
583	210	150
584	211	149
585	211	149
586	211	148
587	211	148
588	212	147
589	212	147
590	212	147
591	212	146
592	213	146
593	213	145
594	213	145
595	213	144
596	213	144
597	214	143
598	214	143
599	214	143
600	214	142
601	215	142
602	215	141
603	215	141
604	215	140
605	215	140
606	216	139
607	216	139
608	216	139
609	216	138
610	217	138
611	217	137
612	217	137
613	217	136
614	218	136
615	218	136
616	218	135
617	218	135
618	218	134
619	219	134
620	219	133
621	219	133
622	219	133
623	220	132
624	220	132
625	220	131
626	220	131
627	221	130
628	221	130
629	221	130
630	221	129
631	222	129
